,
Ansel Elgort,@AnselElgort
Ben Affleck,@BenAffleck
Brie Larson,@brielarson
Bryce Dallas Howard,@BryceDHoward
COMMON,@common
Charlize Theron,@CharlizeAfrica
Edward Norton,@EdwardNorton
Halle Berry,@halleberry
Hugh Jackman,@RealHughJackman
Ice Cube,@icecube
Idris Elba,@idriselba
JARED LETO,@JaredLeto
Jacob Tremblay,@JacobTremblay
John Boyega,@JohnBoyega
John Legend,@johnlegend
Judd Apatow,@JuddApatow
Kevin Hart,@KevinHart4real
Kristin Chenoweth,@KChenoweth
Liev Schreiber,@LievSchreiber
Lin-Manuel Miranda,@Lin_Manuel
Lupita Nyong'o,@Lupita_Nyongo
Mark Ruffalo,@MarkRuffalo
Michelle Monaghan,@realmonaghan
Nia Vardalos,@NiaVardalos
O'Shea Jackson Jr,@OsheaJacksonJr
Patrick Stewart,@SirPatStew
Rob Lowe,@RobLowe
Ron Howard,@RealRonHoward
Russell Crowe,@russellcrowe
Ryan Reynolds,@VancityReynolds
Shailene Woodley,@shailenewoodley
Susan Sarandon,@SusanSarandon
Tom Hanks,@tomhanks
William Shatner,@WilliamShatner
marlon wayans,@MarlonWayans
