,
Access Hollywood,@accesshollywood
AccessHollywoodLive,@AHLive
CELEBUZZ,@CELEBUZZ
E! Entertainment,@e_entertainment
E! News Video,@ENewsVideo
E! News,@enews
Entertainment Weekly,@EW
EntertainmentTonight,@etnow
ExtraTV,@extratv
Gossip Cop,@GossipCop
Harvey Levin,@HarveyLevinTMZ
Hollywood Reporter,@THR
HollywoodLife,@HollywoodLife
In Touch Weekly,@intouchweekly
Inside Edition,@InsideEdition
JustJared.com,@JustJared
Kathie Lee Gifford,@KathieLGifford
MTV Music,@MTVMusic
Mario Lopez,@MarioLopezExtra
NY Daily News Gossip,@NYDNgossip
PEOPLE Great Ideas,@greatideas
POPSUGAR,@POPSUGAR
Page Six,@PageSix
People Magazine,@people
Perez Hilton,@PerezHilton
TMZ Live,@TMZLive
TMZ,@TMZ
The Insider,@TheInsider
The Talk,@TheTalkCBS
The View,@TheView
Us Weekly,@usweekly
Wetpaint,@WetpaintTV
Yahoo Celebrity,@YahooCelebrity
