AccuWeather.com,@accuweather
AccuWeather.com,@breakingweather
Al Roker,@alroker
Breaking News Storm,@breakingstorm
BuzzFeed Storm,@BuzzFeedStorm
CNN Weather Center,@CNNweather
Capital Weather Gang,@capitalweather
Eric Fisher,@ericfisher
Ginger Zee,@Ginger_Zee
Jen Carfagno,@JenCarfagno
Jim Cantore,@JimCantore
Mike Bettes,@mikebettes
Mike Seidel,@mikeseidel
NASAHurricane,@NASAHurricane
NSSL,@NOAANSSL
NWS,@NWS
Rob Marciano,@RobMarciano
Sam Champion,@SamChampion
Stephanie Abrams,@StephanieAbrams
Stu Ostro,@StuOstro
TWC Breaking,@TWCBreaking
The Weather Channel,@weatherchannel
Weather Underground,@wunderground
