,
AP Travel,@AP_Travel
CNN Travel,@CNNTravel
Condé Nast Traveler,@CNTraveler
Fodor's Travel,@fodorstravel
Frommer's,@Frommers
Gadling,@Gadling
JohnnyJet,@JohnnyJet
Lonely Planet,@lonelyplanet
Luxury Travel Bible,@LuxTravelBible
LuxuryTravelMagazine,@LuxuryTravelmag
NBC News Travel,@NBCNewsTravel
Nat Geo Channel,@NatGeoChannel
NatGeoTravel,@NatGeoTravel
Not For Tourists,@notfortourists
Peter S. Greenberg,@PeterSGreenberg
Rough Guides,@RoughGuides
Spud Hilton,@SpudHilton
TOWN&COUNTRY,@TandCmag
The Travel Magazine,@TravelMagazine
Travel + Leisure,@TravelLeisure
Travel Channel,@travelchannel
Travelocity Gnome,@RoamingGnome
USA TODAY Travel,@usatodaytravel
Veronica Stoddart,@wanderlust13
World Travel,@travel
adventuregirl,@adventuregirl
