,
Alliance,@theAllianceGG
Cloud9,@Cloud9
Counter Logic Gaming,@clgaming
Denial eSports,@DenialEsports
DreamHack,@DreamHack
ESL Counter-Strike,@ESLCS
ESL Dota2,@ESLDota2
ESL,@ESL
ESPN Esports,@ESPN_Esports
Evil Geniuses,@EvilGeniuses
FNATIC,@FNATIC
FaZe Clan,@FaZeClan
G2.Kinguin,@G2esports
Intel®ExtremeMasters,@IEM
Luminosity Gaming,@Luminosity
MLG,@MLG
Natus Vincere,@natusvincere
NiP Gaming,@NiPGaming
OG Dota 2,@OGDota2
OpTic Gaming™,@OpTicGaming
Origen,@Origengg
TEAM KALIBER,@TeamKaliber
Team Dignitas,@TeamDignitas
Team Empire,@team_empire
Team Secret,@teamsecret
Team SoloMid,@TeamSoloMid
TeamLiquidPro,@TeamLiquidPro
Yahoo Esports,@YahooEsports
eSportsNation,@eSportsNation
lolesports,@lolesports
