,
Ben Crane,@bencranegolf
Callaway Golf,@CallawayGolf
Danny Willett,@Danny_Willett
Gary Player,@garyplayer
Golf Channel,@GolfChannel
Golf Digest,@GolfDigest
Jack Nicklaus,@jacknicklaus
Jason Dufner,@JasonDufner
John Daly,@PGA_JohnDaly
Justin Rose,@JustinRose99
PGA TOUR,@PGATOUR
PGA.COM,@PGAcom
Pat Perez,@PatPerezGolf
Ryder Cup,@rydercup
TaylorMade Golf,@TaylorMadeGolf
The European Tour,@EuropeanTour
The Open,@TheOpen
Tom Watson,@TomWatsonPGA
U.S. Open (USGA),@usopengolf
USGA,@USGA
Web.com Tour,@WebDotComTour
