,
Alex Skolnick,@AlexSkolnick
Alice Cooper,@RealAliceCooper
Amon Amarth,@AmonAmarthBand
Anthrax (Band),@Anthrax
Apocalyptica,@apocalypticafi
BlackSabbath,@BlackSabbath
Dave Mustaine,@DaveMustaine
David Ellefson,@ellefsondavid
Devin Townsend,@dvntownsend
Disturbed,@Disturbed
Don Jamieson,@realdonjamieson
Dream Theater,@dreamtheaternet
Duff McKagan,@DuffMcKagan
Exodus,@ExodusAttack
FiveFingerDeathPunch,@FFDP
Geezer Butler,@GZRMusic
Godsmack Official,@Godsmack_Music
HELLYEAH,@hellyeahband
Hatebreed,@hatebreed
Iron Maiden,@IronMaiden
Jalapeno Throat, LLC,@CoreyTaylorRock
Jamey Jasta,@jameyjasta
Joe Perry,@JoePerry
John 5,@john5guitarist
Jose Mangin,@josemangin
Lacuna Coil,@lacuna_coil
Lamb Of God,@lambofgod
Machine Head,@MfnH
Mark Tremonti,@MarkTremonti
Megadeth,@Megadeth
Mike Portnoy,@MikePortnoy
Official Dio,@OfficialRJDio
Opeth,@OfficialOpeth
SEVENDUST,@Sevendust
Sebastian Bach,@sebastianbach
Sixx:A.M.,@SixxAM
Slipknot,@slipknot
Suffocation,@suffocation
Trivium,@TriviumOfficial
Twitching Tongues,@twtchngtongues
Zakk Wylde,@ZakkWyldeBLS
matt sorum,@mattsorum
