,
ATP World Tour,@ATPWorldTour
Ana Ivanovic,@AnaIvanovic
Andre Agassi,@AndreAgassi
Australian Open,@AustralianOpen
Billie Jean King,@BillieJeanKing
Caroline Wozniacki,@CaroWozniacki
David Ferrer,@DavidFerrer87
ESPNTennis,@ESPNTennis
Genie Bouchard,@geniebouchard
Juan M. del Potro,@delpotrojuan
Juan Monaco,@picomonaco
Kei Nishikori,@keinishikori
Mardy Fish,@MardyFish
Maria Sharapova,@MariaSharapova
NikeCourt,@Nikecourt
Novak Djokovic,@DjokerNole
Rafa Nadal,@RafaelNadal
Roland Garros,@rolandgarros
SI Tennis,@SI_Tennis
Serena Williams,@serenawilliams
Stanislas Wawrinka,@stanwawrinka
US Open Tennis,@usopen
USTA,@usta
Venus Williams,@Venuseswilliams
WTA,@WTA
Wimbledon,@Wimbledon
andyroddick,@andyroddick
victoria azarenka,@vika7
