Bernie Sanders,@BernieSanders
Donald J. Trump,@realDonaldTrump
Dr. Ben Carson,@RealBenCarson
Hillary Clinton,@HillaryClinton
Jeb Bush,@JebBush
John Kasich,@JohnKasich
Ted Cruz,@tedcruz
